編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
B3-012,B3,012,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,"某智慧製造公司開發一套設備故障預測系統，利用感測器資料訓練深度神經網路（Deep Neural Network, DNN）模型，以提前偵測異常運作跡象。在訓練過程中，團隊發現模型收斂速度不穩定：有時過快導致過擬合，有時又遲遲無法達到最佳準確率。開發團隊可以藉由調整下列哪一項超參數（Hyperparameter）以改善此問題？",(1) 每個神經元的輸出結果,(2) 損失函數（Loss Function）在訓練過程中的梯度變化值（Gradient）,(3) 學習率（Learning Rate），控制模型權重更新的速度,(4) 模型在訓練後產生的權重值,3,
B3-013,B3,013,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,標籤偏差(Label Bias)通常是因為什麼原因造成？,(1) 訓練資料量過大,(2) 標記資料本身帶有主觀偏見,(3) 模型結構設計不當,(4) 特徵數量設定過多,2,
B3-014,B3,014,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,下列哪一種 AI 應用情境中，模型的可解釋性（Explainability）最為關鍵？,(1) 電商平台利用深度學習模型預測用戶的下一次購買時間，以優化推播行銷策略,(2) 新創公司使用機器學習演算法自動調整廣告出價策略，以提升點擊轉換率,(3) 醫院導入 AI 模型分析病患影像並給出腫瘤惡性可能性，作為臨床醫師診斷依據,(4) 銀行導入 AI 模型預測客戶流失率，並自動推薦留客優惠方案,3,
B3-015,B3,015,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在線性迴歸模型中，若 R²值為 0.85，其意義為何？,(1) 模型準確率為 85%,(2) 85%的變異可被模型解釋,(3) 預測誤差為 15%,(4) 模型有 85%的信心水準,2,
B3-016,B3,016,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在二元分類問題中，若精確率（Precision）為 0.8，召回率（Recall）為 0.6，則 F1分數（F1 Score）為何？,(1) 0.686,(2) 0.700,(3) 0.720,(4) 0.750,1,
B3-017,B3,017,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,下列哪一種優化演算法內建動量（Momentum）的設計機制？,(1) SGD+Momentum,(2) Adam,(3) RMSProp,(4) Adagrad,2,
B3-018,B3,018,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,"下列何者最能同時反映 XGBoost（eXtreme Gradient Boosting）相較於傳統梯度提升決策樹（Gradient Boosting Decision Tree, GBDT）的主要技術改進？",(1) 引入正則化項（Regularization）以抑制過擬合，並支援缺失值自動處理與並行化訓練,(2) 改以隨機森林（Random Forest）架構取代樹模型以提升準確率,(3) 以類神經網路（Neural Network）取代弱分類器（Weak Learners）,(4) 採用批次正規化（Batch Normalization）技術提升模型穩定性,1,
B3-019,B3,019,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某醫療機構開發疾病早期偵測模型，正樣本（確診病例）僅佔 3%。在模型訓練與評估過程中，下列哪一種作法最不適合用於提升對少數類病例的預測能力？,(1) 使用 SMOTE 過採樣,(2) 調整類別權重,(3) 使用準確率（Accuracy）作為評估指標,(4) 欠採樣多數類(Undersampling the majority class),3,
B3-020,B3,020,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某電子商務公司為開發商品評論情感分析模型，希望模型能捕捉評論中不同特徵之間的關聯影響，例如「商品價格」與「顧客滿意度」的互動效果。下列哪一種特徵工程設計方式最適合用於建立互動特徵（Interaction Features）？,(1) 將單一特徵取平方,(2) 對所有特徵進行對數轉換,(3) 將兩個或多個特徵進行乘積或交互組合,(4) 對特徵進行標準化,3,
B3-021,B3,021,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某語音辨識系統開發團隊採用 Transformer 架構，為了讓模型能同時理解語音片段中的發音特徵、語速變化與語意脈絡等多層次資訊，團隊在設計中導入了多頭注意力（Multi-head Attention）機制。請問下列何者為此機制的主要優點？,(1) 減少模型參數量以降低訓練成本,(2) 加速整體注意力計算過程,(3) 從不同表示子空間（Representation Subspaces）同時捕捉多樣化關聯資訊,(4) 避免梯度消失（Gradient Vanishing）問題,3,
B3-022,B3,022,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某電商平台希望預測顧客是否會購買特定商品。系統蒐集顧客的瀏覽紀錄、停留時間、商品類別偏好與過去購買行為，並以此推估「在觀察到這些行為特徵的情況下，該顧客會購買的機率」。若模型採用貝氏定理（Bayes’Theorem）進行推論，下列敘述何者最符合其核心運作機制？,(1) 根據歷史樣本自動分群，找出行為相似的顧客群,(2) 以條件機率方式計算顧客屬於「會購買」或「不會購買」的分類機率,(3) 以最小平方誤差（Mean Squared Error）為損失函數，預測顧客的購買金額,(4) 依據回饋信號（Feedback Signal）透過強化學習（Reinforcement Learning）動態調整推薦策略,2,
B3-023,B3,023,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,一家再生能源公司希望預測未來三個月太陽能發電量的波動範圍。由於氣候條件具有高度隨機性，且輸入變數（如日照時數、雲量、溫度）之間存在不確定關係，工程團隊決定以隨機抽樣方式模擬多種可能情境，以估算整體發電量的機率分佈與風險區間。請問此時所採用的技術最符合下列哪一種方法？,(1) 蒙地卡羅方法（Monte Carlo Method）,(2) K-means聚類（K-means Clustering）,"(3) 支持向量迴歸（Support Vector Regression, SVR）",(4) 特徵選取（Feature Selection）,1,
B3-024,B3,024,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某房地產公司利用多元迴歸模型（Multiple Regression Model）預測房價，並繪製殘差圖（Residual Plot）檢查模型品質。結果顯示部分資料點的殘差極大，且在高價區樣本中出現系統性彎曲分佈現象。根據此觀察，下列何者為最可能的正確解釋？,(1) 模型過度擬合（Overfitting），導致在訓練資料上表現過好、泛化能力不足,(2) 模型特徵數量不足，導致欠擬合（Underfitting）,(3) 模型存在異常值（Outlier）或非線性關係，違反迴歸假設,(4) 殘差圖呈現隨機分佈，表示模型已完全符合所有假設,3,
B3-025,B3,025,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某金融機構正在建立傳統信用評分卡模型，採用邏輯迴歸（Logistic Regression）作為建模方法，並依循監理機關建議的標準化流程進行模型開發。下列哪一項不是傳統信用評分卡模型開發流程中的常見步驟？,(1) 使用生成式模型進行特徵學習,(2) 進行特徵選擇與多重共線性（Multicollinearity）分析,"(3) 進行分箱（Binning）與資訊值（Information Value, IV）檢定","(4) 使用樣本穩定性指標（Population Stability Index, PSI）檢驗模型穩定性",1,
B3-026,B3,026,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在防止監督式學習模型過擬合（Overfitting）時，下列哪一種策略不屬於降低模型複雜度或限制學習能力的作法？,(1) 採用 L1或 L2 正則化,(2) 在訓練過程中使用 Dropout 技術,(3) 採取早期停止（Early Stopping）機制,(4) 擴增輸入特徵變數以提升模型表達能力,4,
B3-027,B3,027,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某智慧製造團隊在開發瑕疵影像檢測模型時，發現使用線性激活函數（Activation Function）後，模型的訓練準確率長期停滯，懷疑模型無法學習到足夠複雜的特徵表達。若要改善此問題，下列哪一項調整方案最為合適？,(1) 增加卷積層（Convolutional Layer）數量，使網路更深以強化特徵提,(2) 將輸入影像先進行灰階化處理，降低運算量,(3) 使用 Sigmoid 激活函數，以將輸出壓縮至範圍,(4) 改用 ReLU（Rectified Linear Unit）激活函數，以引入非線性並提升模型表達能力,4,
B3-028,B3,028,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,一家零售電商公司希望建立顧客流失預測模型，用以判斷哪些會員可能在三個月內不再消費。團隊以去年會員資料進行訓練，並僅採用「曾經購買三次以上」的活躍顧客紀錄作為樣本。模型上線後，對整體會員進行預測時，發現模型對於新註冊會員與低消費會員的預測準確率明顯偏低。下列何者為造成此現象最可能的原因？,(1) 特徵設計未排除與會員忠誠度高度相關的變數，導致特徵偏差（Feature Bias）,(2) 標記（Label）由人工標註，導致標籤偏差（Label Bias）,(3) 訓練樣本僅涵蓋高活躍顧客，造成取樣偏差（Sampling Bias）,(4) 模型未進行超參數調整，導致過擬合（Overfitting）,3,
B3-029,B3,029,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在工業設備故障預測專案中，模型訓練與超參數調整均依賴於一段歷史數據作為驗證集。然而，隨著設備運行環境與工況條件的變化，原有驗證集已無法充分反映現況，導致模型在實際部署後的預測準確率逐漸下降。下列哪一種策略最能有效提升模型在長期運行環境中的穩健性與泛化能力？,(1) 固定驗證集內容，並透過模型正則化技巧（如 L2 正則化）強化模型泛化,(2) 將全部歷史資料納入訓練，不使用驗證集，依靠早期停止（Early Stopping）控制訓練,(3) 簡化模型架構，減少模型參數數量以降低過擬合風險,(4) 採用時間序列交叉驗證（Time Series Cross Validation）或滑動視窗驗證（Rolling Window Validation）方法，動態更新驗證資料以適應時間演進,4,
B3-030,B3,030,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某情感分析模型在英文資料集上取得 macro F1-score = 0.91。當該模型部署於西班牙文資料集時，F1-score 驟降至 0.58。下列哪一項解釋最合理，且與 F1-score 變化相關？,(1) macro F1-score 本身波動性高，建議改用 micro-average F1-score 評估,(2) 模型在西班牙文語料上過度擬合，導致評估結果偏高,(3) 語言轉移造成召回率（Recall）下降，模型無法正確辨識關鍵情緒詞彙,(4) 以均方誤差（MSE）取代 F1-score 評估可獲得更準確的結果,3,
B3-031,B3,031,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某能源公司利用歷史氣象與用電資料，開發長期電力需求預測模型，採用深度神經網路架構進行訓練。在訓練過程中，模型在訓練集上的損失值持續下降，但在驗證集上，損失在第 80輪後開始波動，呈現週期性上升與下降。團隊懷疑模型受到季節性資料波動與隨機噪音影響，導致驗證損失難以穩定收斂。若要在此情境下合理運用早期停止法（Early Stopping）以確保模型具最佳泛化能力，下列哪一項策略最為適當？,(1) 直接根據訓練集損失最低點停止訓練，以確保模型充分擬合所有樣本,(2) 監控驗證集損失並設定適度的耐心值（Patience），在連續多輪未改善後再停止訓練,(3) 改以測試集損失作為早停依據，以提升模型最終評估一致性,(4) 將所有資料重新合併後訓練至收斂，避免因資料分割導致評估波動,2,
B3-032,B3,032,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某電信公司開發客戶流失預測模型，使用大量顧客行為特徵，例如通話時長、上網頻率、帳單金額、客服聯絡次數等。在訓練過程中，團隊發現部分特徵彼此高度相關，但同時也懷疑有些特徵對流失預測的貢獻度有限。若希望模型在避免過擬合（Overfitting）的同時，能自動篩選出較具代表性的特徵，採用下列哪一種方法最為合適？,(1) 使用早期停止法（Early Stopping）控制訓練回合數，避免過擬合（Overfitting）,(2) 同時移除多重共線性特徵並採用 L2正則化（Ridge），以確保模型穩定收斂,(3) 僅使用 L2正則化（Ridge），抑制所有權重幅度但保留全部特徵,(4) 採用 L1正則化（Lasso），透過懲罰項使部分特徵係數縮為 0,4,
